protein1 protein2 combined_score
511145.b0015 511145.b1406 212
511145.b0015 511145.b2016 256
511145.b0015 511145.b3303 468
511145.b0015 511145.b3307 448
511145.b0015 511145.b3725 218
511145.b0015 511145.b0169 451
511145.b0015 511145.b0797 241
511145.b0015 511145.b3197 156
511145.b0015 511145.b1805 279
511145.b0015 511145.b2283 325
511145.b0015 511145.b3461 549
511145.b0015 511145.b3418 408
511145.b0015 511145.b0318 262
511145.b0015 511145.b1656 457
511145.b0015 511145.b0473 491
511145.b0015 511145.b0525 492
511145.b0015 511145.b4506 301
511145.b0015 511145.b0637 465
511145.b0015 511145.b2581 335
511145.b0015 511145.b2567 457
511145.b0015 511145.b4034 483
511145.b0015 511145.b0773 284
511145.b0015 511145.b2275 224
511145.b0015 511145.b2285 454
511145.b0015 511145.b3340 189
511145.b0015 511145.b3296 376
511145.b0015 511145.b2594 282
511145.b0015 511145.b2606 479
511145.b0015 511145.b2522 224
511145.b0015 511145.b1343 241
511145.b0015 511145.b3865 463
511145.b0015 511145.b3315 444
511145.b0015 511145.b2488 245
511145.b0015 511145.b0545 284
511145.b0015 511145.b0148 179
511145.b0015 511145.b3313 494
511145.b0015 511145.b1094 482
511145.b0015 511145.b3780 241
511145.b0015 511145.b3656 338
511145.b0015 511145.b0058 282
511145.b0015 511145.b2255 278
511145.b0015 511145.b0661 357
511145.b0015 511145.b0999 622
511145.b0015 511145.b2919 256
511145.b0015 511145.b3846 256
511145.b0015 511145.b2052 256
511145.b0015 511145.b3983 477
511145.b0015 511145.b0869 258
511145.b0015 511145.b1086 282
511145.b0015 511145.b2096 514
511145.b0015 511145.b2942 282
511145.b0015 511145.b0423 206
511145.b0015 511145.b4180 335
511145.b0015 511145.b2069 361
511145.b0015 511145.b4063 315
511145.b0015 511145.b3308 454
511145.b0015 511145.b3878 338
511145.b0015 511145.b2066 389
511145.b0015 511145.b2529 152
511145.b0015 511145.b3320 481
511145.b0015 511145.b2614 988
511145.b0015 511145.b4211 258
511145.b0015 511145.b1378 752
511145.b0015 511145.b3686 264
511145.b0015 511145.b3702 339
511145.b0015 511145.b2576 305
511145.b0015 511145.b3298 466
511145.b0015 511145.b3152 258
511145.b0015 511145.b3651 335
511145.b0015 511145.b0145 636
511145.b0015 511145.b3532 224
511145.b0015 511145.b0183 282
511145.b0015 511145.b0036 256
511145.b0015 511145.b3363 492
511145.b0015 511145.b0650 305
511145.b0015 511145.b3321 441
511145.b0015 511145.b0868 256
511145.b0015 511145.b3306 392
511145.b0015 511145.b2834 212
511145.b0015 511145.b0487 315
511145.b0015 511145.b3186 463
511145.b0015 511145.b3162 269
511145.b0015 511145.b2526 305
511145.b0015 511145.b0875 242
511145.b0015 511145.b4142 376
511145.b0015 511145.b1494 282
511145.b0015 511145.b2609 457
511145.b0015 511145.b3311 465
511145.b0015 511145.b3299 301
511145.b0015 511145.b2786 201
511145.b0015 511145.b3317 454
511145.b0015 511145.b0649 224
511145.b0015 511145.b2720 245
511145.b0015 511145.b2562 245
511145.b0015 511145.b0037 279
511145.b0015 511145.b1224 388
511145.b0015 511145.b3178 165
511145.b0015 511145.b3319 396
511145.b0015 511145.b1413 179
511145.b0015 511145.b0177 150
511145.b0015 511145.b3165 414
511145.b0015 511145.b0424 469
511145.b0015 511145.b3001 212
511145.b0015 511145.b2592 581
511145.b0015 511145.b3300 212
511145.b0015 511145.b3644 394
511145.b0015 511145.b2836 282
511145.b0015 511145.b3729 194
511145.b0015 511145.b0659 381
511145.b0015 511145.b2791 282
511145.b0015 511145.b3706 463
511145.b0015 511145.b3230 457
511145.b0015 511145.b1771 212
511145.b0015 511145.b3301 480
511145.b0015 511145.b3611 206
511145.b0015 511145.b3636 457
511145.b0015 511145.b3637 457
511145.b0015 511145.b2668 206
511145.b0015 511145.b2072 371
511145.b0015 511145.b2699 382
511145.b0015 511145.b2297 204
511145.b0015 511145.b3425 206
511145.b0015 511145.b1393 256
511145.b0015 511145.b1773 218
511145.b0015 511145.b1207 183
511145.b0015 511145.b3309 486
