protein1 protein2 combined_score
511145.b0912 511145.b0047 153
511145.b0912 511145.b1237 540
511145.b0912 511145.b2754 800
511145.b0912 511145.b4323 175
511145.b0912 511145.b3350 153
511145.b0912 511145.b3653 175
511145.b0912 511145.b3389 181
511145.b0912 511145.b2114 154
511145.b0912 511145.b1712 999
511145.b0912 511145.b0440 590
511145.b0912 511145.b4000 576
511145.b0912 511145.b3169 468
511145.b0912 511145.b2755 800
511145.b0913 511145.b0789 179
511145.b0913 511145.b3326 317
511145.b0913 511145.b3413 319
511145.b0913 511145.b2585 179
511145.b0913 511145.b1249 179
511145.b0913 511145.b1046 179
511145.b0913 511145.b0442 319
511145.b0913 511145.b0107 317
511145.b0914 511145.b0652 540
511145.b0914 511145.b4087 540
511145.b0914 511145.b0365 540
511145.b0914 511145.b2546 540
511145.b0914 511145.b1312 540
511145.b0914 511145.b3486 491
511145.b0914 511145.b3568 540
511145.b0914 511145.b4289 540
511145.b0914 511145.b3544 540
511145.b0914 511145.b0589 540
511145.b0914 511145.b3917 540
511145.b0914 511145.b0199 900
511145.b0914 511145.b1859 540
511145.b0914 511145.b4460 540
511145.b0914 511145.b0655 540
511145.b0914 511145.b3020 360
511145.b0914 511145.b1917 540
511145.b0914 511145.b2179 540
511145.b0914 511145.b0933 540
511145.b0914 511145.b4231 540
511145.b0914 511145.b3270 540
511145.b0914 511145.b3542 540
511145.b0914 511145.b2131 540
511145.b0914 511145.b2271 152
511145.b0914 511145.b3480 540
511145.b0914 511145.b2195 156
511145.b0914 511145.b2150 540
511145.b0914 511145.b1293 540
511145.b0914 511145.b1918 540
511145.b0914 511145.b2677 720
511145.b0914 511145.b0068 540
511145.b0914 511145.b1485 540
511145.b0914 511145.b2201 540
511145.b0914 511145.b3454 540
511145.b0914 511145.b0423 206
511145.b0914 511145.b0366 540
511145.b0914 511145.b2211 540
511145.b0914 511145.b2200 540
511145.b0914 511145.b3476 540
511145.b0914 511145.b0863 540
511145.b0914 511145.b2425 540
511145.b0914 511145.b0934 540
511145.b0914 511145.b4086 540
511145.b0914 511145.b0698 900
511145.b0914 511145.b4105 360
511145.b0914 511145.b0158 540
511145.b0914 511145.b2424 540
511145.b0914 511145.b3750 900
511145.b0914 511145.b0829 540
511145.b0914 511145.b1756 540
511145.b0914 511145.b3726 540
511145.b0914 511145.b1440 540
511145.b0914 511145.b1118 540
511145.b0914 511145.b3751 540
511145.b0914 511145.b1484 540
511145.b0914 511145.b0793 540
511145.b0914 511145.b0592 540
511145.b0914 511145.b1310 540
511145.b0914 511145.b1900 540
511145.b0914 511145.b4287 540
511145.b0914 511145.b1857 540
511145.b0914 511145.b4261 900
511145.b0914 511145.b2178 540
511145.b0914 511145.b3453 540
511145.b0914 511145.b3458 540
511145.b0914 511145.b0696 900
511145.b0914 511145.b2422 540
511145.b0914 511145.b1292 540
511145.b0914 511145.b3567 540
511145.b0914 511145.b4513 900
511145.b0914 511145.b0860 540
511145.b0914 511145.b0128 360
511145.b0914 511145.b0152 540
511145.b0914 511145.b1443 540
511145.b0914 511145.b0588 540
511145.b0914 511145.b2548 540
511145.b0914 511145.b1920 540
511145.b0914 511145.b3425 206
511145.b0914 511145.b2130 540
511145.b0914 511145.b0856 900
511145.b0914 511145.b1329 540
511145.b0914 511145.b0811 540
511145.b0914 511145.b2306 540
511145.b0914 511145.b0765 540
511145.b0914 511145.b0810 540
511145.b0914 511145.b1709 900
511145.b0914 511145.b4288 540
511145.b0914 511145.b0654 540
511145.b0914 511145.b2668 206
511145.b0914 511145.b4034 540
511145.b0914 511145.b3566 540
511145.b0914 511145.b2417 540
511145.b0914 511145.b3611 206
511145.b0914 511145.b0936 540
511145.b0914 511145.b2180 540
511145.b0914 511145.b3541 540
511145.b0914 511145.b0832 540
511145.b0914 511145.b1244 540
511145.b0914 511145.b4035 900
511145.b0914 511145.b0809 540
511145.b0914 511145.b3460 540
511145.b0914 511145.b0792 540
511145.b0914 511145.b0886 720
511145.b0914 511145.b1755 540
511145.b0914 511145.b3259 173
511145.b0914 511145.b3457 540
511145.b0914 511145.b2198 540
511145.b0914 511145.b3477 540
511145.b0914 511145.b0148 193
511145.b0914 511145.b1094 280
511145.b0914 511145.b3479 540
511145.b0914 511145.b3908 242
511145.b0914 511145.b2129 540
511145.b0914 511145.b3451 900
511145.b0914 511145.b0982 242
511145.b0914 511145.b1246 540
511145.b0914 511145.b0367 540
511145.b0914 511145.b3728 540
511145.b0914 511145.b1754 540
511145.b0914 511145.b3725 540
511145.b0914 511145.b0760 540
511145.b0914 511145.b1294 540
511145.b0914 511145.b1126 900
511145.b0914 511145.b4227 540
511145.b0914 511145.b0861 540
511145.b0914 511145.b0764 540
511145.b0914 511145.b3543 540
511145.b0914 511145.b1413 193
511145.b0914 511145.b1243 540
511145.b0914 511145.b2679 540
511145.b0914 511145.b1513 540
511145.b0914 511145.b0864 540
511145.b0914 511145.b0830 540
511145.b0914 511145.b4485 540
511145.b0914 511145.b2197 540
511145.b0914 511145.b1486 540
511145.b0914 511145.b1901 540
511145.b0914 511145.b3311 242
511145.b0914 511145.b0590 540
511145.b0914 511145.b3749 900
511145.b0914 511145.b1441 540
511145.b0914 511145.b0066 540
511145.b0914 511145.b4032 900
511145.b0914 511145.b1124 900
511145.b0914 511145.b2177 540
511145.b0914 511145.b0197 900
511145.b0914 511145.b3452 900
511145.b0914 511145.b1291 540
511145.b0914 511145.b0854 540
511145.b0914 511145.b2061 242
511145.b0914 511145.b1245 540
511145.b0914 511145.b4088 540
511145.b0914 511145.b1515 540
511145.b0914 511145.b1483 540
511145.b0914 511145.b1656 242
511145.b0914 511145.b3207 165
511145.b0914 511145.b0831 540
511145.b0914 511145.b0659 273
511145.b0914 511145.b0356 151
511145.b0914 511145.b0763 540
511145.b0914 511145.b2678 720
511145.b0914 511145.b1442 540
511145.b0914 511145.b4262 900
511145.b0914 511145.b1387 165
511145.b0914 511145.b1247 540
511145.b0914 511145.b1711 900
511145.b0914 511145.b3478 540
511145.b0914 511145.b1514 540
511145.b0914 511145.b3168 273
511145.b0914 511145.b1290 540
511145.b0914 511145.b3727 540
511145.b0914 511145.b0794 580
511145.b0914 511145.b3271 540
511145.b0914 511145.b4230 540
511145.b0914 511145.b2308 540
511145.b0914 511145.b0862 540
511145.b0914 511145.b2423 540
511145.b0914 511145.b2753 152
511145.b0914 511145.b2128 540
511145.b0914 511145.b0067 540
511145.b0914 511145.b2237 165
511145.b0914 511145.b1125 900
511145.b0914 511145.b0697 900
511145.b0914 511145.b1858 540
511145.b0914 511145.b1516 540
511145.b0914 511145.b3540 540
511145.b0914 511145.b0262 360
511145.b0914 511145.b3269 540
511145.b0914 511145.b2307 540
511145.b0914 511145.b3456 540
511145.b0914 511145.b0153 900
511145.b0914 511145.b3455 540
511145.b0914 511145.b1487 540
511145.b0914 511145.b4290 540
511145.b0914 511145.b0887 720
511145.b0914 511145.b0653 540
511145.b0914 511145.b1116 540
511145.b0914 511145.b2149 540
511145.b0914 511145.b2547 540
511145.b0914 511145.b0708 320
511145.b0914 511145.b3201 900
511145.b0914 511145.b2309 540
511145.b0914 511145.b1308 206
511145.b0914 511145.b3450 900
511145.b0914 511145.b0198 900
511145.b0914 511145.b1117 540
511145.b0914 511145.b2199 540
511145.b0914 511145.b0151 900
511145.b0914 511145.b3485 360
511145.b0914 511145.b0857 900
511145.b0914 511145.b3194 521
511145.b0914 511145.b1311 540
511145.b0914 511145.b0855 900
511145.b0914 511145.b2148 540
511145.b0914 511145.b4033 900
511145.b0914 511145.b2310 540
511145.b0914 511145.b1319 540
511145.b0915 511145.b3671 185
511145.b0917 511145.b2330 171
511145.b0917 511145.b1212 214
511145.b0918 511145.b2292 173
511145.b0918 511145.b3609 360
511145.b0918 511145.b4001 173
511145.b0918 511145.b4124 179
511145.b0918 511145.b1649 363
511145.b0918 511145.b1013 457
511145.b0919 511145.b3441 188
511145.b0919 511145.b3293 188
511145.b0919 511145.b1066 188
511145.b0919 511145.b2584 188
511145.b0919 511145.b1427 188
511145.b0919 511145.b1584 188
511145.b0920 511145.b3732 152
511145.b0921 511145.b0662 204
511145.b0921 511145.b2551 158
511145.b0921 511145.b3625 179
511145.b0921 511145.b2906 204
511145.b0921 511145.b3835 179
511145.b0921 511145.b0347 170
511145.b0921 511145.b2907 204
511145.b0922 511145.b0956 453
511145.b0922 511145.b0923 999
511145.b0922 511145.b0924 996
511145.b0922 511145.b1094 453
511145.b0922 511145.b2917 410
511145.b0923 511145.b0956 493
511145.b0923 511145.b0924 996
511145.b0923 511145.b0922 999
511145.b0923 511145.b1094 453
511145.b0923 511145.b2919 418
511145.b0924 511145.b2917 418
511145.b0924 511145.b2530 457
511145.b0924 511145.b0095 509
511145.b0924 511145.b0923 996
511145.b0924 511145.b2919 376
511145.b0924 511145.b0956 493
511145.b0924 511145.b1000 351
511145.b0924 511145.b3650 447
511145.b0924 511145.b3019 960
511145.b0924 511145.b0882 382
511145.b0924 511145.b2894 451
511145.b0924 511145.b0922 996
511145.b0924 511145.b1094 527
511145.b0927 511145.b1308 222
511145.b0927 511145.b2061 260
511145.b0927 511145.b0659 281
511145.b0927 511145.b0294 234
511145.b0927 511145.b0315 234
511145.b0927 511145.b1094 288
511145.b0927 511145.b3472 277
511145.b0927 511145.b3507 234
511145.b0927 511145.b0982 260
511145.b0927 511145.b2022 181
511145.b0927 511145.b0324 167
511145.b0927 511145.b1945 198
511145.b0927 511145.b3425 222
511145.b0927 511145.b1951 234
511145.b0927 511145.b2846 234
511145.b0927 511145.b3311 260
511145.b0927 511145.b0212 900
511145.b0927 511145.b2390 234
511145.b0927 511145.b0082 281
511145.b0927 511145.b2318 281
511145.b0927 511145.b3611 222
511145.b0927 511145.b0423 222
511145.b0927 511145.b2668 222
511145.b0928 511145.b0037 228
511145.b0928 511145.b1406 163
511145.b0928 511145.b2290 900
511145.b0928 511145.b2286 155
511145.b0928 511145.b1805 228
511145.b0928 511145.b3001 163
511145.b0928 511145.b1761 903
511145.b0928 511145.b2836 279
511145.b0928 511145.b2021 900
511145.b0928 511145.b3212 900
511145.b0928 511145.b1771 163
511145.b0928 511145.b0419 163
511145.b0928 511145.b3213 900
511145.b0928 511145.b1701 228
511145.b0928 511145.b2260 228
511145.b0928 511145.b4054 900
511145.b0928 511145.b2036 157
511145.b0928 511145.b2834 163
511145.b0929 511145.b0161 526
511145.b0929 511145.b3781 457
511145.b0929 511145.b0014 161
511145.b0929 511145.b4311 540
511145.b0929 511145.b0177 718
511145.b0929 511145.b0983 540
511145.b0929 511145.b1256 226
511145.b0929 511145.b0552 540
511145.b0929 511145.b0572 540
511145.b0929 511145.b0411 918
511145.b0929 511145.b1615 540
511145.b0929 511145.b0739 509
511145.b0929 511145.b2062 540
511145.b0929 511145.b1319 540
511145.b0929 511145.b3388 181
511145.b0929 511145.b4291 244
511145.b0929 511145.b2346 983
511145.b0929 511145.b0957 779
511145.b0929 511145.b0241 969
511145.b0929 511145.b4036 915
511145.b0929 511145.b0740 955
511145.b0929 511145.b1967 540
511145.b0929 511145.b0681 540
511145.b0929 511145.b3966 981
511145.b0929 511145.b3821 234
511145.b0929 511145.b1489 363
511145.b0929 511145.b1377 563
511145.b0929 511145.b3875 540
511145.b0929 511145.b3192 514
511145.b0929 511145.b2215 998
511145.b0929 511145.b0839 191
511145.b0929 511145.b0196 673
511145.b0929 511145.b3720 540
511145.b0930 511145.b0194 615
511145.b0930 511145.b0642 548
511145.b0930 511145.b2989 215
511145.b0930 511145.b2301 215
511145.b0930 511145.b2400 496
511145.b0930 511145.b2697 151
511145.b0930 511145.b1637 297
511145.b0930 511145.b1454 215
511145.b0930 511145.b0838 215
511145.b0930 511145.b3967 210
511145.b0930 511145.b4129 389
511145.b0930 511145.b2114 629
511145.b0930 511145.b2302 215
511145.b0930 511145.b0026 613
511145.b0930 511145.b0680 530
511145.b0930 511145.b2733 162
511145.b0930 511145.b3229 215
511145.b0930 511145.b1635 215
511145.b0930 511145.b0144 435
511145.b0930 511145.b2890 389
511145.b0930 511145.b1719 500
511145.b0930 511145.b1876 458
511145.b0930 511145.b3592 215
511145.b0931 511145.b2164 185
511145.b0931 511145.b3430 188
511145.b0932 511145.b1749 207
511145.b0932 511145.b1467 508
511145.b0932 511145.b1224 508
511145.b0932 511145.b4260 902
511145.b0932 511145.b0489 154
511145.b0932 511145.b3985 222
511145.b0932 511145.b0424 457
511145.b0932 511145.b0318 235
511145.b0932 511145.b2523 902
511145.b0932 511145.b3318 224
511145.b0932 511145.b3207 204
511145.b0932 511145.b0014 165
511145.b0932 511145.b3236 158
511145.b0932 511145.b2237 204
511145.b0932 511145.b0650 165
511145.b0932 511145.b2753 169
511145.b0932 511145.b2526 165
511145.b0932 511145.b2487 529
511145.b0932 511145.b2195 227
511145.b0932 511145.b2271 169
511145.b0932 511145.b4143 298
511145.b0932 511145.b2069 163
511145.b0932 511145.b4175 163
511145.b0932 511145.b1225 508
511145.b0932 511145.b0237 900
511145.b0932 511145.b3081 508
511145.b0932 511145.b4174 154
511145.b0932 511145.b1468 508
511145.b0932 511145.b1466 508
511145.b0932 511145.b3309 222
511145.b0933 511145.b0197 540
511145.b0933 511145.b2211 540
511145.b0933 511145.b2200 540
511145.b0933 511145.b1124 540
511145.b0933 511145.b0366 540
511145.b0933 511145.b2177 540
511145.b0933 511145.b0068 540
511145.b0933 511145.b1485 540
511145.b0933 511145.b3454 540
511145.b0933 511145.b2201 540
511145.b0933 511145.b0066 540
511145.b0933 511145.b4032 540
511145.b0933 511145.b0590 540
511145.b0933 511145.b2150 540
511145.b0933 511145.b1293 540
511145.b0933 511145.b3749 540
511145.b0933 511145.b1918 540
511145.b0933 511145.b2677 540
511145.b0933 511145.b1441 540
511145.b0933 511145.b2197 540
511145.b0933 511145.b4485 540
511145.b0933 511145.b1486 540
511145.b0933 511145.b3480 540
511145.b0933 511145.b1901 540
511145.b0933 511145.b2131 540
511145.b0933 511145.b4231 540
511145.b0933 511145.b1513 540
511145.b0933 511145.b0864 540
511145.b0933 511145.b3270 540
511145.b0933 511145.b3542 540
511145.b0933 511145.b0830 540
511145.b0933 511145.b3020 360
511145.b0933 511145.b1917 540
511145.b0933 511145.b1243 540
511145.b0933 511145.b2179 540
511145.b0933 511145.b2679 540
511145.b0933 511145.b0589 540
511145.b0933 511145.b0199 540
511145.b0933 511145.b3917 540
511145.b0933 511145.b3543 540
511145.b0933 511145.b1859 540
511145.b0933 511145.b0655 540
511145.b0933 511145.b4460 540
511145.b0933 511145.b1312 540
511145.b0933 511145.b2421 150
511145.b0933 511145.b3486 360
511145.b0933 511145.b4227 540
511145.b0933 511145.b0861 540
511145.b0933 511145.b0764 540
511145.b0933 511145.b4289 540
511145.b0933 511145.b3568 540
511145.b0933 511145.b3544 540
511145.b0933 511145.b1126 540
511145.b0933 511145.b0365 540
511145.b0933 511145.b3725 540
511145.b0933 511145.b2546 540
511145.b0933 511145.b0760 540
511145.b0933 511145.b1294 540
511145.b0933 511145.b0652 540
511145.b0933 511145.b4087 540
511145.b0933 511145.b1754 540
511145.b0933 511145.b1514 540
511145.b0933 511145.b3478 540
511145.b0933 511145.b2178 540
511145.b0933 511145.b3453 540
511145.b0933 511145.b4261 540
511145.b0933 511145.b1857 540
511145.b0933 511145.b1711 540
511145.b0933 511145.b1247 540
511145.b0933 511145.b1900 540
511145.b0933 511145.b4287 540
511145.b0933 511145.b0592 540
511145.b0933 511145.b1310 540
511145.b0933 511145.b1484 540
511145.b0933 511145.b0793 540
511145.b0933 511145.b0763 540
511145.b0933 511145.b2678 540
511145.b0933 511145.b3751 540
511145.b0933 511145.b1442 540
511145.b0933 511145.b4262 540
511145.b0933 511145.b1440 540
511145.b0933 511145.b3726 540
511145.b0933 511145.b1118 540
511145.b0933 511145.b0829 540
511145.b0933 511145.b1756 540
511145.b0933 511145.b3750 540
511145.b0933 511145.b0831 540
511145.b0933 511145.b2424 540
511145.b0933 511145.b0934 911
511145.b0933 511145.b1483 540
511145.b0933 511145.b0698 540
511145.b0933 511145.b4086 540
511145.b0933 511145.b0158 540
511145.b0933 511145.b4105 360
511145.b0933 511145.b1515 540
511145.b0933 511145.b2425 540
511145.b0933 511145.b0863 540
511145.b0933 511145.b1245 540
511145.b0933 511145.b4088 540
511145.b0933 511145.b3476 540
511145.b0933 511145.b3452 540
511145.b0933 511145.b1291 540
511145.b0933 511145.b0854 540
511145.b0933 511145.b0936 925
511145.b0933 511145.b1116 540
511145.b0933 511145.b2149 540
511145.b0933 511145.b2417 540
511145.b0933 511145.b0653 540
511145.b0933 511145.b1487 540
511145.b0933 511145.b4034 540
511145.b0933 511145.b3566 540
511145.b0933 511145.b0887 540
511145.b0933 511145.b4290 540
511145.b0933 511145.b3456 540
511145.b0933 511145.b0153 540
511145.b0933 511145.b0654 540
511145.b0933 511145.b3455 540
511145.b0933 511145.b0810 540
511145.b0933 511145.b1709 540
511145.b0933 511145.b0262 360
511145.b0933 511145.b3269 540
511145.b0933 511145.b4288 540
511145.b0933 511145.b2307 540
511145.b0933 511145.b1858 540
511145.b0933 511145.b1516 540
511145.b0933 511145.b3540 540
511145.b0933 511145.b0811 540
511145.b0933 511145.b2306 540
511145.b0933 511145.b0765 540
511145.b0933 511145.b1329 540
511145.b0933 511145.b0856 540
511145.b0933 511145.b0697 540
511145.b0933 511145.b1125 540
511145.b0933 511145.b2128 540
511145.b0933 511145.b1920 540
511145.b0933 511145.b2130 540
511145.b0933 511145.b0067 540
511145.b0933 511145.b0128 360
511145.b0933 511145.b0152 540
511145.b0933 511145.b1443 540
511145.b0933 511145.b0588 540
511145.b0933 511145.b2548 540
511145.b0933 511145.b0860 540
511145.b0933 511145.b3567 540
511145.b0933 511145.b4513 540
511145.b0933 511145.b0914 540
511145.b0933 511145.b2423 540
511145.b0933 511145.b0862 540
511145.b0933 511145.b3271 540
511145.b0933 511145.b0794 540
511145.b0933 511145.b4230 540
511145.b0933 511145.b1292 540
511145.b0933 511145.b2422 540
511145.b0933 511145.b2308 540
511145.b0933 511145.b1290 540
511145.b0933 511145.b3458 540
511145.b0933 511145.b0696 540
511145.b0933 511145.b3727 540
511145.b0933 511145.b3728 540
511145.b0933 511145.b2310 540
511145.b0933 511145.b1319 540
511145.b0933 511145.b0855 540
511145.b0933 511145.b4033 540
511145.b0933 511145.b2148 540
511145.b0933 511145.b3451 540
511145.b0933 511145.b1246 540
511145.b0933 511145.b0367 622
511145.b0933 511145.b3194 360
511145.b0933 511145.b2129 540
511145.b0933 511145.b1311 540
511145.b0933 511145.b0857 540
511145.b0933 511145.b3479 540
511145.b0933 511145.b0151 540
511145.b0933 511145.b3485 360
511145.b0933 511145.b3477 540
511145.b0933 511145.b1117 540
511145.b0933 511145.b2199 540
511145.b0933 511145.b2198 540
511145.b0933 511145.b3457 540
511145.b0933 511145.b0198 540
511145.b0933 511145.b0886 540
511145.b0933 511145.b1755 540
511145.b0933 511145.b3450 540
511145.b0933 511145.b0792 540
511145.b0933 511145.b0809 540
511145.b0933 511145.b3460 540
511145.b0933 511145.b4035 540
511145.b0933 511145.b3201 540
511145.b0933 511145.b0832 540
511145.b0933 511145.b2309 540
511145.b0933 511145.b1244 540
511145.b0933 511145.b2547 540
511145.b0933 511145.b2180 540
511145.b0933 511145.b3541 540
511145.b0934 511145.b0652 540
511145.b0934 511145.b4087 540
511145.b0934 511145.b1754 540
511145.b0934 511145.b3725 540
511145.b0934 511145.b0365 540
511145.b0934 511145.b2546 540
511145.b0934 511145.b0760 540
511145.b0934 511145.b1294 540
511145.b0934 511145.b1126 540
511145.b0934 511145.b1312 540
511145.b0934 511145.b3486 360
511145.b0934 511145.b0861 540
511145.b0934 511145.b4227 540
511145.b0934 511145.b3568 540
511145.b0934 511145.b0764 540
511145.b0934 511145.b3544 540
511145.b0934 511145.b4289 540
511145.b0934 511145.b0589 540
511145.b0934 511145.b3917 540
511145.b0934 511145.b0199 540
511145.b0934 511145.b1859 540
511145.b0934 511145.b3543 540
511145.b0934 511145.b4460 540
511145.b0934 511145.b0655 540
511145.b0934 511145.b1917 540
511145.b0934 511145.b3020 360
511145.b0934 511145.b1243 540
511145.b0934 511145.b2179 540
511145.b0934 511145.b2679 540
511145.b0934 511145.b0933 911
511145.b0934 511145.b1513 540
511145.b0934 511145.b4231 540
511145.b0934 511145.b0864 540
511145.b0934 511145.b3270 540
511145.b0934 511145.b3542 540
511145.b0934 511145.b0830 540
511145.b0934 511145.b2131 540
511145.b0934 511145.b2197 540
511145.b0934 511145.b4485 540
511145.b0934 511145.b1486 540
511145.b0934 511145.b3480 540
511145.b0934 511145.b1901 540
511145.b0934 511145.b2150 540
511145.b0934 511145.b0590 540
511145.b0934 511145.b3749 540
511145.b0934 511145.b1293 540
511145.b0934 511145.b1918 540
511145.b0934 511145.b2677 540
511145.b0934 511145.b1441 540
511145.b0934 511145.b0066 540
511145.b0934 511145.b4032 540
511145.b0934 511145.b0068 540
511145.b0934 511145.b1485 540
511145.b0934 511145.b3454 540
511145.b0934 511145.b2201 540
511145.b0934 511145.b0366 540
511145.b0934 511145.b1124 540
511145.b0934 511145.b2177 540
511145.b0934 511145.b0197 540
511145.b0934 511145.b2211 540
511145.b0934 511145.b2200 540
511145.b0934 511145.b3476 540
511145.b0934 511145.b1291 540
511145.b0934 511145.b3452 540
511145.b0934 511145.b0854 540
511145.b0934 511145.b1245 540
511145.b0934 511145.b4088 540
511145.b0934 511145.b1515 540
511145.b0934 511145.b0863 540
511145.b0934 511145.b2425 540
511145.b0934 511145.b1483 540
511145.b0934 511145.b4086 540
511145.b0934 511145.b0698 540
511145.b0934 511145.b0158 540
511145.b0934 511145.b4105 360
511145.b0934 511145.b2424 540
511145.b0934 511145.b3750 540
511145.b0934 511145.b0831 540
511145.b0934 511145.b0829 540
511145.b0934 511145.b1756 540
511145.b0934 511145.b3726 540
511145.b0934 511145.b1440 540
511145.b0934 511145.b1118 540
511145.b0934 511145.b0763 540
511145.b0934 511145.b2678 540
511145.b0934 511145.b1442 540
511145.b0934 511145.b3751 540
511145.b0934 511145.b4262 540
511145.b0934 511145.b1484 540
511145.b0934 511145.b0793 540
511145.b0934 511145.b0592 540
511145.b0934 511145.b1310 540
511145.b0934 511145.b1247 540
511145.b0934 511145.b1900 540
511145.b0934 511145.b4287 540
511145.b0934 511145.b1857 540
511145.b0934 511145.b1711 540
511145.b0934 511145.b4261 540
511145.b0934 511145.b3478 540
511145.b0934 511145.b1514 540
511145.b0934 511145.b2178 540
511145.b0934 511145.b3453 540
511145.b0934 511145.b1290 540
511145.b0934 511145.b3458 540
511145.b0934 511145.b0696 540
511145.b0934 511145.b3727 540
511145.b0934 511145.b3271 540
511145.b0934 511145.b0794 540
511145.b0934 511145.b2422 540
511145.b0934 511145.b4230 540
511145.b0934 511145.b1292 540
511145.b0934 511145.b2308 540
511145.b0934 511145.b3567 540
511145.b0934 511145.b4513 540
511145.b0934 511145.b0914 540
511145.b0934 511145.b0862 540
511145.b0934 511145.b2423 540
511145.b0934 511145.b0860 540
511145.b0934 511145.b0128 360
511145.b0934 511145.b1443 540
511145.b0934 511145.b0152 540
511145.b0934 511145.b0588 540
511145.b0934 511145.b2548 540
511145.b0934 511145.b2128 540
511145.b0934 511145.b1920 540
511145.b0934 511145.b2130 540
511145.b0934 511145.b0067 540
511145.b0934 511145.b1125 540
511145.b0934 511145.b1329 540
511145.b0934 511145.b0697 540
511145.b0934 511145.b0856 540
511145.b0934 511145.b0811 540
511145.b0934 511145.b2306 540
511145.b0934 511145.b0765 540
511145.b0934 511145.b1516 540
511145.b0934 511145.b1858 540
511145.b0934 511145.b3540 540
511145.b0934 511145.b0810 540
511145.b0934 511145.b1709 540
511145.b0934 511145.b0262 360
511145.b0934 511145.b3269 540
511145.b0934 511145.b2307 540
511145.b0934 511145.b4288 540
511145.b0934 511145.b3456 540
511145.b0934 511145.b0153 540
511145.b0934 511145.b0654 540
511145.b0934 511145.b3455 540
511145.b0934 511145.b1487 540
511145.b0934 511145.b4034 540
511145.b0934 511145.b4290 540
511145.b0934 511145.b0887 540
511145.b0934 511145.b3566 540
511145.b0934 511145.b2417 540
511145.b0934 511145.b0653 540
511145.b0934 511145.b1116 540
511145.b0934 511145.b0936 912
511145.b0934 511145.b2149 540
511145.b0934 511145.b2547 540
511145.b0934 511145.b2180 540
511145.b0934 511145.b3541 540
511145.b0934 511145.b3201 540
511145.b0934 511145.b2309 540
511145.b0934 511145.b0832 540
511145.b0934 511145.b1244 540
511145.b0934 511145.b4035 540
511145.b0934 511145.b0809 540
511145.b0934 511145.b3460 540
511145.b0934 511145.b0792 540
511145.b0934 511145.b0886 540
511145.b0934 511145.b1755 540
511145.b0934 511145.b3450 540
511145.b0934 511145.b0198 540
511145.b0934 511145.b3457 540
511145.b0934 511145.b2198 540
511145.b0934 511145.b2199 540
511145.b0934 511145.b1117 540
511145.b0934 511145.b0151 540
511145.b0934 511145.b3477 540
511145.b0934 511145.b3485 360
511145.b0934 511145.b0857 540
511145.b0934 511145.b3479 540
511145.b0934 511145.b2129 540
511145.b0934 511145.b3194 360
511145.b0934 511145.b1311 540
511145.b0934 511145.b3451 540
511145.b0934 511145.b0367 540
511145.b0934 511145.b1246 540
511145.b0934 511145.b0855 540
511145.b0934 511145.b4033 540
511145.b0934 511145.b2148 540
511145.b0934 511145.b3728 540
511145.b0934 511145.b2310 540
511145.b0934 511145.b1319 540
511145.b0935 511145.b0586 487
511145.b0935 511145.b2217 181
511145.b0935 511145.b0817 171
511145.b0935 511145.b0937 950
511145.b0936 511145.b1484 540
511145.b0936 511145.b0793 540
511145.b0936 511145.b0763 540
511145.b0936 511145.b3751 540
511145.b0936 511145.b2678 540
511145.b0936 511145.b1442 540
511145.b0936 511145.b4262 540
511145.b0936 511145.b1247 540
511145.b0936 511145.b1900 540
511145.b0936 511145.b4287 540
511145.b0936 511145.b0592 540
511145.b0936 511145.b1310 540
511145.b0936 511145.b4261 540
511145.b0936 511145.b1857 540
511145.b0936 511145.b1711 540
511145.b0936 511145.b1514 540
511145.b0936 511145.b3478 540
511145.b0936 511145.b2178 540
511145.b0936 511145.b3453 540
511145.b0936 511145.b1245 540
511145.b0936 511145.b4088 540
511145.b0936 511145.b3476 540
511145.b0936 511145.b1291 540
511145.b0936 511145.b3452 540
511145.b0936 511145.b0854 540
511145.b0936 511145.b0934 912
511145.b0936 511145.b1483 540
511145.b0936 511145.b0698 540
511145.b0936 511145.b4086 540
511145.b0936 511145.b0158 540
511145.b0936 511145.b4105 360
511145.b0936 511145.b1515 540
511145.b0936 511145.b2425 711
511145.b0936 511145.b0863 540
511145.b0936 511145.b3750 540
511145.b0936 511145.b0831 540
511145.b0936 511145.b2424 540
511145.b0936 511145.b1440 540
511145.b0936 511145.b3726 540
511145.b0936 511145.b1118 540
511145.b0936 511145.b1756 540
511145.b0936 511145.b0829 540
511145.b0936 511145.b2197 540
511145.b0936 511145.b4485 540
511145.b0936 511145.b1486 540
511145.b0936 511145.b1901 540
511145.b0936 511145.b3480 540
511145.b0936 511145.b2131 540
511145.b0936 511145.b0590 540
511145.b0936 511145.b2150 540
511145.b0936 511145.b3749 540
511145.b0936 511145.b1293 540
511145.b0936 511145.b2677 540
511145.b0936 511145.b1918 540
511145.b0936 511145.b1441 540
511145.b0936 511145.b2201 540
511145.b0936 511145.b0068 540
511145.b0936 511145.b3454 540
511145.b0936 511145.b1485 540
511145.b0936 511145.b0066 540
511145.b0936 511145.b4032 540
511145.b0936 511145.b0197 540
511145.b0936 511145.b2211 540
511145.b0936 511145.b2200 540
511145.b0936 511145.b0366 540
511145.b0936 511145.b1124 540
511145.b0936 511145.b2177 540
511145.b0936 511145.b0365 540
511145.b0936 511145.b3725 540
511145.b0936 511145.b2546 540
